,Genre,Correlation_Coefficient,P-Value
13,Music,0.280642422,6.06E-06
12,Musical,0.241923855,0.000104841
3,Biography,0.149268248,0.017736284
5,Crime,0.135736846,0.031238467
19,Sport,0.114538368,0.069496436
10,History,0.109542729,0.082649108
11,Horror,0.104118144,0.099128795
21,War,0.101959639,0.106370716
7,Drama,0.052149619,0.409772074
20,Thriller,-0.02314928,0.714584891
0,Action,-0.039909288,0.528274722
22,Western,-0.064227381,0.309839914
4,Comedy,-0.064891222,0.304855451
14,Mystery,-0.080816235,0.201026622
17,Sci-Fi,-0.098189999,0.120010937
9,Fantasy,-0.104137976,0.099064116
6,Documentary,-0.12068503,0.055711001
2,Animation,-0.129147678,0.040506148
16,Romance,-0.166539251,0.008070397
8,Family,-0.264435626,2.11E-05
1,Adventure,-0.274662094,9.70E-06
15,News,-0.348769618,1.28E-08
18,Short,-0.388100553,1.75E-10
