TIME,Value
2000-01,103.062
2000-02,103.1218
2000-03,103.0303
2000-04,103.0094
2000-05,102.9808
2000-06,102.869
2000-07,102.8312
2000-08,102.7918
2000-09,102.7354
2000-10,102.6122
2000-11,102.3269
2000-12,101.7279
2001-01,101.1343
2001-02,100.7005
2001-03,100.5133
2001-04,100.4758
2001-05,100.6153
2001-06,100.7049
2001-07,100.6073
2001-08,100.2652
2001-09,99.77219
2001-10,99.59445
2001-11,99.76209
2001-12,100.1678
2002-01,100.5601
2002-02,100.7951
2002-03,101.0076
2002-04,101.0675
2002-05,101.0379
2002-06,100.7534
2002-07,100.3725
2002-08,100.0586
2002-09,99.78402
2002-10,99.57671
2002-11,99.59378
2002-12,99.5909
2003-01,99.38816
2003-02,99.20834
2003-03,99.3028
2003-04,99.79594
2003-05,100.2821
2003-06,100.4595
2003-07,100.4621
2003-08,100.3605
2003-09,100.3203
2003-10,100.4888
2003-11,100.8209
2003-12,101.1654
2004-01,101.4829
2004-02,101.3538
2004-03,101.1631
2004-04,100.9686
2004-05,100.8795
2004-06,101.0362
2004-07,101.1629
2004-08,101.1348
2004-09,100.9997
2004-10,100.8982
2004-11,100.9712
2004-12,101.1255
2005-01,101.1088
2005-02,100.9319
2005-03,100.671
2005-04,100.4568
2005-05,100.534
2005-06,100.8185
2005-07,100.7121
2005-08,100.0399
2005-09,99.22289
2005-10,98.95773
2005-11,99.39716
2005-12,100.0528
2006-01,100.3487
2006-02,100.2934
2006-03,100.1441
2006-04,99.85814
2006-05,99.53765
2006-06,99.51405
2006-07,99.55515
2006-08,99.66682
2006-09,100.0251
2006-10,100.5023
2006-11,100.7648
2006-12,100.896
2007-01,100.9324
2007-02,100.6788
2007-03,100.37
2007-04,100.1723
2007-05,100.1037
2007-06,100.0575
2007-07,100.0312
2007-08,99.77084
2007-09,99.48097
2007-10,99.14635
2007-11,98.82162
2007-12,98.63056
2008-01,98.44691
2008-02,98.00493
2008-03,97.47207
2008-04,96.87143
2008-05,96.44019
2008-06,96.30457
2008-07,96.5355
2008-08,96.82807
2008-09,96.91454
2008-10,96.51326
2008-11,96.2215
2008-12,96.21301
2009-01,96.22121
2009-02,96.1916
2009-03,96.42119
2009-04,96.93067
2009-05,97.36906
2009-06,97.55056
2009-07,97.49915
2009-08,97.54882
2009-09,97.75101
2009-10,97.78471
2009-11,97.80067
2009-12,97.99863
2010-01,98.18213
2010-02,98.24468
2010-03,98.24117
2010-04,98.21798
2010-05,98.21654
2010-06,98.10864
2010-07,97.78575
2010-08,97.58882
2010-09,97.53116
2010-10,97.64289
2010-11,97.93477
2010-12,98.2193
2011-01,98.34212
2011-02,98.28648
2011-03,98.01018
2011-04,97.94392
2011-05,97.92612
2011-06,97.57761
2011-07,96.92325
2011-08,96.36472
2011-09,96.28851
2011-10,96.55128
2011-11,97.05231
2011-12,97.67207
2012-01,98.20043
2012-02,98.49499
2012-03,98.63694
2012-04,98.67672
2012-05,98.61282
2012-06,98.37883
2012-07,98.29639
2012-08,98.4908
2012-09,98.85279
2012-10,99.11238
2012-11,99.01351
2012-12,98.6313
2013-01,98.48435
2013-02,98.60223
2013-03,98.79316
2013-04,99.03596
2013-05,99.42325
2013-06,99.62348
2013-07,99.58033
2013-08,99.2588
2013-09,98.82251
2013-10,98.55279
2013-11,98.66783
2013-12,99.01556
2014-01,99.21351
2014-02,99.29376
2014-03,99.3307
2014-04,99.41432
2014-05,99.39872
2014-06,99.36848
2014-07,99.35909
2014-08,99.46779
2014-09,99.70184
2014-10,100.0309
2014-11,100.4346
2014-12,100.8822
2015-01,101.1838
2015-02,101.1864
2015-03,101.0763
2015-04,101.0138
2015-05,100.9221
2015-06,100.9381
2015-07,100.8072
2015-08,100.591
2015-09,100.3961
2015-10,100.4295
2015-11,100.5625
2015-12,100.6732
2016-01,100.6882
2016-02,100.6456
2016-03,100.6001
2016-04,100.6253
2016-05,100.7649
2016-06,100.7398
2016-07,100.5724
2016-08,100.4515
2016-09,100.4296
2016-10,100.5174
2016-11,100.893
2016-12,101.2781
2017-01,101.4472
2017-02,101.4332
2017-03,101.3983
2017-04,101.3531
2017-05,101.2719
2017-06,101.1511
2017-07,101.1043
2017-08,101.2144
2017-09,101.3522
2017-10,101.5229
2017-11,101.5
2017-12,101.4058
2018-01,101.4392
2018-02,101.6211
2018-03,101.7341
2018-04,101.6773
2018-05,101.5814
2018-06,101.5167
2018-07,101.4815
2018-08,101.4941
2018-09,101.5871
2018-10,101.5672
2018-11,101.4454
2018-12,101.2553
2019-01,101.0278
2019-02,101.0882
2019-03,101.3311
2019-04,101.5092
2019-05,101.6071
2019-06,101.5026
2019-07,101.2443
2019-08,100.9145
2019-09,100.9145
2019-10,101.1404
2019-11,101.4396
2019-12,101.6934
2020-01,101.6916
2020-02,101.2149
2020-03,100.1035
2020-04,98.89448
2020-05,98.33716
2020-06,98.28101
2020-07,98.30016
2020-08,98.52761
2020-09,98.88483
2020-10,99.0689
2020-11,99.04055
2020-12,99.02783
