Year,AVG_CCI,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Music,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2000,102.758225,0.57279,0.68919,0.6787,0.51716,0.53965,0.51901,0.3875,0.46346,0.73348,0.66239,0.40003,0.62311,0.40838,0.48747,0.596,0,0.48139,0.72404,0.56701,0.58439,0.56272,0.41787,0.44704
2001,100.3594275,0.66152,0.6946,0.56878,0.38499,0.5349,0.61576,0.26937,0.44513,0.6758,0.63282,0.436,0.54667,0.43584,0.48063,0.53426,0,0.47725,0.62405,0.48534,0.53805,0.59148,0.40652,0.4431
2002,100.3498425,0.71469,0.76687,0.7375,0.41754,0.53866,0.51806,0.33497,0.47492,0.73411,0.69741,0.433,0.68285,0.53004,0.37635,0.62076,0,0.49212,0.72735,0.58868,0.59815,0.58006,0.47188,0.9386
2003,100.1712367,0.70049,0.6834,0.66429,0.52344,0.55445,0.5672,0.33042,0.46726,0.688,0.67646,0.50363,0.64301,0.55694,0.44618,0.58024,0,0.49753,0.66853,0.55813,0.55854,0.62095,0.48912,0.58996
2004,101.0980333,0.67842,0.68211,0.65671,0.58218,0.56164,0.53809,0.38022,0.47294,0.66799,0.62067,0.48425,0.54897,0.49045,0.56836,0.61772,0.30143,0.54401,0.6349,0.59472,0.70532,0.5725,0.50029,0.58143
2005,100.241965,0.6782,0.72708,0.67571,0.55431,0.53633,0.59915,0.34593,0.48061,0.74857,0.71877,0.42854,0.62365,0.61847,0.54373,0.58574,0.70858,0.51514,0.71219,0.60811,0.66546,0.60113,0.38909,0.41982
2006,100.0921842,0.71759,0.77164,0.68282,0.55658,0.56573,0.57339,0.33841,0.4805,0.73161,0.73304,0.61743,0.57581,0.60152,0.51671,0.57252,0.85121,0.52171,0.59621,0.54352,0.69781,0.6119,0.47231,0.58395
2007,99.84968667,0.70777,0.72292,0.69646,0.59092,0.52388,0.56242,0.31934,0.49605,0.71492,0.67253,0.53158,0.63528,0.57045,0.48619,0.58847,0,0.5286,0.69685,0.65795,0.62224,0.62626,0.5782,0.60903
2008,96.897165,0.67509,0.73826,0.65927,0.4886,0.57366,0.52642,0.36039,0.48585,0.69189,0.70389,0.51475,0.53787,0.55209,0.47498,0.54391,0.54069,0.54697,0.70283,0.62262,0.54147,0.55627,0.53024,0.44985
2009,97.25560667,0.68903,0.68877,0.70554,0.59532,0.53353,0.52223,0.38986,0.47911,0.68799,0.66434,0.49189,0.51724,0.53676,0.48885,0.59254,0.61558,0.54625,0.71931,0.59482,0.59914,0.5713,0.52103,0.48968
2010,97.99281917,0.68722,0.72863,0.6363,0.52068,0.53891,0.55503,0.34855,0.48842,0.74092,0.67123,0.45916,0.58877,0.52391,0.48437,0.6026,0.3981,0.59418,0.69911,0.63082,0.50187,0.59801,0.49901,0.60753
2011,97.4115475,0.61296,0.7446,0.71225,0.45571,0.56436,0.48381,0.37899,0.47657,0.70387,0.68078,0.44944,0.51684,0.58211,0.4578,0.5832,0.29246,0.53456,0.70264,0.63229,0.65128,0.54707,0.42417,0.66729
2012,98.61649167,0.64095,0.70131,0.61114,0.44681,0.54755,0.52966,0.36607,0.49561,0.67667,0.66017,0.44381,0.49981,0.50608,0.46803,0.57568,0.30015,0.5455,0.62551,0.63011,0.56877,0.56728,0.54523,0.45532
2013,98.98835417,0.62095,0.72276,0.5911,0.53016,0.52967,0.55304,0.40306,0.48842,0.61504,0.63523,0.48633,0.45667,0.49057,0.52579,0.48767,0.35721,0.51998,0.65736,0.60639,0.5913,0.56691,0.55557,0.54943
2014,99.6579925,0.65595,0.68164,0.57531,0.53785,0.54148,0.54135,0.36872,0.51363,0.6149,0.63068,0.45843,0.45509,0.61806,0.48292,0.56866,0.40072,0.54725,0.6765,0.61628,0.47014,0.53938,0.55454,0.51767
2015,100.815,0.65637,0.68465,0.61871,0.54586,0.54886,0.5071,0.36302,0.4933,0.61094,0.67718,0.51188,0.5472,0.57278,0.50077,0.57908,0.33635,0.48351,0.65697,0.56843,0.63076,0.55761,0.52003,0.43002
2016,100.683825,0.68563,0.73552,0.72745,0.53083,0.57445,0.5469,0.34153,0.49244,0.65661,0.62734,0.47708,0.57375,0.65214,0.49107,0.55288,0.21516,0.54577,0.65064,0.50774,0.60084,0.56524,0.51215,0.76311
2017,101.3462,0.65299,0.68712,0.684,0.54538,0.57565,0.5664,0.348,0.50677,0.66922,0.6681,0.48826,0.50401,0.6493,0.53632,0.53763,0.20951,0.53622,0.68622,0.49145,0.45607,0.5638,0.51506,0.36749
2018,101.5333667,0.64992,0.66722,0.57214,0.54793,0.56317,0.58124,0.33762,0.50906,0.64124,0.62685,0.48627,0.51589,0.6676,0.48738,0.57307,0.15106,0.52992,0.68398,0.45686,0.50148,0.58403,0.49384,0.45371
2019,101.2843917,0.63794,0.68723,0.60173,0.55163,0.58014,0.51926,0.37324,0.49656,0.64929,0.65388,0.48479,0.52778,0.67807,0.56999,0.53968,0.40285,0.55198,0.65778,0.35719,0.59856,0.57464,0.4618,0.48555
2020,99.28104417,0.70393,0.67349,0.65688,0.49851,0.5648,0.58095,0.29994,0.4999,0.60096,0.65842,0.5144,0.61177,0.56346,0.45424,0.58733,0,0.48899,0.70436,0.19493,0.46608,0.58823,0.51519,0.4793
